,type,event_timex,tlink_label
901,silver,*start* 2% in april *end* *end* and since the start of may *end* *end*,before
902,silver,*start* is up 55% *end* *start* it closed friday at,unspecified
903,silver,19 doesn't happen again *end* more than two months of deliberations,unspecified
904,silver,really big differences in risk to become aware of the,unspecified
905,silver,*start*  friday 's report producer prices jumped 1% in,before
906,silver,1% in december from 53 3% in november *end* *end*,unspecified
907,silver,57 after winning a crucial federal court dismissed the stamford,overlap
908,silver,a sustained impact on the *start* " said bob lynch,unspecified
909,silver,*start*  fell to 3 four at the end of last period *end* *end*,overlap
910,silver,do i generate a steady mutual funds offer an answer,overlap
911,silver,stocks higher yesterday *end* *end* helped to propel european and,overlap
912,silver,s&p 500 went up less price/earnings ratio slipped *end* *end*,after
913,silver,*start* *start* now *end* *end* a similar conversation *end* *end*,overlap
914,silver,*start*  banned levies on domestic product grew to $28,unspecified
915,silver,forecast was slashed from 3 the weakest level since 2002,unspecified
916,silver,"short" shares borrow and sell borrow and sell them *end*,overlap
917,silver,major currencies ended little changed financial markets closed for the,after
918,silver,and into 2009 *end* *end* is now ratcheting down its,unrealized
919,silver,scareairport authorities shut down a police dog indicated that a,before
920,silver,1% in december from 53 3% in november *end* *end*,after
921,silver,who has served as president francisco since 2004 *end* *end*,unspecified
922,silver,which starts oct. 1 *end* *end* billion in the next three years *end* *end*,unspecified
923,silver,pace in 2008 *end* *end* 1% in july *end* *end*,unspecified
924,silver,financial markets detached themselves from fairly resounding yes *end* *end*,before
925,silver,incentives in november *end* *end* economists to predict the october,unspecified
926,silver,taxation has provided an element-by-element tends to break out when,unspecified
927,silver,peak during world war i ; the not be asking senior citizens,unspecified
928,silver,security that defaulted *end* *end* *start* investors suffered a 6%,unspecified
929,silver,taken a beating this recession consumers have decided they can,overlap
930,silver,not be asking senior citizens poor to tighten their belts,unspecified
931,silver,scareairport authorities shut down a minutes on monday morning after a,overlap
932,silver,it's the lowest s&p 500 ratio in 10 years *end* *end*,unspecified
933,silver,substance to discuss *end* *end* economic advisers considered the economic,unspecified
934,silver,*start* they disagree about next sales should total about 665,unspecified
935,silver,the pregnant pause of a *start* " said david littman,unspecified
936,silver,uninspiring annual performances of its *start*  finishing the year,after
937,silver,reached a post-1965 high *end* begun to decline *end* *end*,after
938,silver,and a brewing debate about reserve might wind down its,unrealized
939,silver,china is targeting lower growth growth over the next five years *end* *end*,unspecified
940,silver,they are negotiating at all them has decided the political,toText
941,silver,weaken somewhat this week *end* *end* the market turns its attention,unspecified
942,silver,economists to predict the october predict the october sales slowdown,unspecified
943,silver,smaller businesses face the prospect having to pay more for,unspecified
944,silver,designed to provide short-term growth does it deliver *end* *end*,unspecified
945,silver,500 p/e ratio in 10 ratio in 10 years *end* *end*,overlap
946,silver,may yet come *end* *end* be increasingly difficult *end* *end*,unspecified
947,silver,the alarm felt by many new yorkers elected bill de,after
948,silver,crash like oct. 19 doesn't happen 19 doesn't happen again *end*,unspecified
949,silver,activists are negotiating to try they are negotiating at all,unspecified
950,silver,japanese stocks pulled back yesterday pulled back yesterday *end* *end*,overlap
951,silver,recent data suggested that the economy was moving toward price,unrealized
952,silver,3% in november *end* *end* the first drop in three,unspecified
953,silver,going to happen *end* *end* " he added *end* *end*,unspecified
954,silver,for people entering retirement *end* do i generate a steady,unspecified
955,silver,*start* it turned out in michelle obama sent a congratulatory,overlap
956,silver,sales should total about 665 for all 1984 *end* *end*,unspecified
957,silver,sharpton once epitomized new york's of the 1980s *end* *end*,overlap
958,silver,investors who short " shares more investors expect a downturn,unspecified
959,silver,*start* 1% in july *end* *end* *start* the 2009 forecast was,unspecified
960,silver,are being debated *end* *end* designed to provide short-term growth,unspecified
961,silver,540 in 1996 from just $919 (in 1996 dollars) in,unspecified
962,silver,particularly intense this year *end* *end* been particularly intense this year,overlap
963,silver,at a low for the low for the year of 1,unspecified
964,silver,the economy hurt the growth-sensitive dollar and depressed the tokyo,unspecified
965,silver,*start* it closed friday at it closed friday at 70,overlap
966,silver,stock average dropped 121 points rally on friday *end* *end*,before
967,silver,reserve also reported that industrial industrial production rose for the,before
968,silver,*start*  conferred with mr *start* sharpton in august about the,overlap
969,silver,falling sharply on friday on fears fears the fund might sell,unspecified
970,silver,the yuan appreciates "at a *start*  noted that china,unspecified
971,silver,rose for the fourth straight month in october month in october *end* *end*,unspecified
972,silver,here's a review of the the central goal of the,unspecified
973,silver,index was down 0 *end* index was down 0 *end*,overlap
974,silver,francisco since 2004 *end* *end* who has served as president,overlap
975,silver,months after upgrading its global is now ratcheting down its,after
976,silver,models in october while california *start*  increased car taxes,overlap
977,silver,it was less than eight weeks ago that the industrial average reached a record,overlap
978,silver,*start* *start* today *end* *end* *start* doomsayers point to the,overlap
979,silver,500 went up less than price/earnings ratio slipped *end* *end*,after
980,silver,days of the 1980s *end* *end* tub thumper inflamed racial hatred,unspecified
981,silver,has steadily declined *end* *end* local taxes now consume a,unspecified
982,silver,which was closed monday and *start*  played catch-up with,after
983,silver,of a shift toward newer more-efficient vehicles raises worries about,unspecified
984,silver,540 in 1996 from just dollars) in 1776 *end* *end*,unspecified
985,silver,confirmation hearing thursday alongside two *start* yellen appeared at a,overlap
986,silver,economy isn't expanding quickly enough *start* ) noted that recent,unspecified
987,silver,fiat will pay the treasury treasury will retain 80% of,unspecified
988,silver,strategies but start with the *start*  place a pool,unspecified
989,silver,84 yen late friday *end* *end* 81 cents late friday in new,unspecified
990,silver,options market looked forward to *start*  tomorrow's monthly expiration,after
991,silver,bond market led to a *start* prices swung in a,unspecified
992,silver,jones industrials rose 87 *end* the nasdaq gained 23 *end*,overlap
993,silver,sagged in the past few weeks *end* *end* *start*  losing just 7,overlap
994,silver,financial markets closed for the investors initially sold technology stocks,after
995,silver,years when compared with an *start* only last week *end* *end*,unspecified
996,silver,mostly lower early monday as a were mostly lower early monday,overlap
997,silver,benchmark is up 8 *end* *start* 4% this month *end* *end*,overlap
998,silver,domestic product grew to $28 540 in 1996 from just,overlap
999,silver,in the reduction of destructive *start*  eliminating corporate welfare,unspecified
1000,silver,europe and jumped 2 *end* while italy rose 0 *end*,unspecified
1001,silver,reporting period ended march 14 interest -- jumped 7 *end*,overlap
1002,silver,*start* with yesterday's mini-meltdown on the question looms larger than,before
1003,silver,already was available from insurer-run loathe to turn over their,unspecified
1004,silver,program have pushed yields sharply 000 in april was better,unspecified
1005,silver,the cautionary message provided by provided by last october's market crash,before
1006,silver,*start*  dampened sentiment *end* average was off 0 *end*,unspecified
1007,silver,*start* strong gains by the stock market on tuesday helped to,overlap
1008,silver,dollar looks poised to weaken weaken somewhat this week *end* *end*,unspecified
1009,silver,stock was downgraded by two analysts who cited its recent,unspecified
1010,silver,*start*  indicating support for for policies aimed at reducing,unspecified
1011,silver,*start*  said yesterday *end* *start* said yesterday *end* *end*,toText
1012,silver,*start*  played catch-up with and switzerland slid 0 *end*,overlap
1013,silver,*start* it turned out in andrew cuomo gushed *end* *end*,overlap
1014,silver,selling portfolio gained 12 *end* *start* 5% in the first two months of 2008 *end* *end*,toText
1015,silver,on in 15 years *end* *end* significant free-trade negotiation we have,after
1016,silver,to be seen --although japanese have now turned positive *end*,unspecified
1017,silver,european markets rose 0 *end* *start* which closed up 2,after
1018,silver,purchasing management said its members its members reported a decline,before
1019,silver,*start* after falling sharply on sharply on friday on fears,overlap
1020,silver,*start* 000 next year from his 000-unit rate this year *end* *end*,before
1021,silver,*start*  this month *end* *end* going private four years ago *end* *end*,unspecified
1022,silver,japanese stocks pulled back yesterday pulled back yesterday *end* *end*,unspecified
1023,silver,april was better than expected *start* has dropped to 1,unspecified
1024,silver,technology shares dived yesterday after shares dived yesterday after intel,unspecified
1025,silver,1% in july *end* *end* is now expected to expand,after
1026,silver,is being pitched to investors stock is right now *end* *end*,overlap
1027,silver,economy is expanding *end* *end* below 50% indicates the economy,unrealized
1028,silver,half of march *end* *end* short-selling activity soared at the,overlap
1029,silver,*start*  remain at historically has been endorsing all along,unspecified
1030,silver,hours later showed companies spending *start* helping paint a picture,unspecified
1031,silver,*start* bernanke shows signs of chairman from 1987 to 2006,unspecified
1032,silver,*start* homer's lost money for money for the second consecutive year *end* *end*,unspecified
1033,silver,rally on friday *end* *end* most investors said the effect,unspecified
1034,silver,sharply on friday on fears fund might sell off its,unrealized
1035,silver,*start* the surge in prices *start* which affected a broad,unspecified
1036,silver,for all 1984 *end* *end* sales should total about 665,overlap
1037,silver,computers and mail them to *start* in the past 12 months *end* *end*,unspecified
1038,silver,become more dovish *end* *end* to be seen --although japanese,unspecified
1039,silver,and they find it misguided misguided to see the gyrations,unspecified
1040,silver,lower growth over the next five years *end* *end* *start*  dampened sentiment *end*,unspecified
1041,silver,since the 1930s *end* *end* is now entering a major,after
1042,silver,who have criticized "reaganomics" as still has wound up with,unspecified
1043,silver,important considerations point to just the cautionary message provided by,unspecified
1044,silver,tub thumper inflamed racial hatred hatred and courted violence *end*,overlap
1045,silver,the fed cut the interest rate and lengthened the term,unspecified
1046,silver,both nations announced *end* *end* we have embarked on in,overlap
1047,silver,companies should lead in the in the reduction of destructive,unspecified
1048,silver,its june 28 meeting *end* are retail sales and consumer,unspecified
1049,silver,shares dived yesterday after intel stock was downgraded by two,before
1050,silver,subsidizes the sale of american *start* *start* taxing and spending,unspecified
1051,silver,a national campaign to urge how to jump on board,unspecified
1052,silver,of the 1980s *end* *end* *start*  today *end* *end*,unspecified
1053,silver,have now turned positive *end* may's selloff suggests that with,overlap
1054,silver,*start* *start* taxing and spending taxing and spending to support,overlap
1055,silver,company's creditor shut homer's five stores on new year's eve *end* *end*,overlap
1056,silver,we have embarked on in on in 15 years *end* *end*,before
1057,silver,540 in 1996 from just *start* since 1976 annual gdp,after
1058,silver,federal court dismissed the stamford wrestling entertainment fell 12 cents,before
1059,silver,the imf said wednesday in imf said wednesday in its,unspecified
1060,silver,*start*  in april the president the president appeared at a,overlap
1061,silver,06 in january *end* *end* is still down about 50%,after
1062,silver,increases also indicates inflation isn't *start*  declined to 51,unspecified
1063,silver,have been falling *end* *end* *start* has dropped to 1,unspecified
1064,silver,"the comments suggest further *end* credit agricole said in a,unspecified
1065,silver,-- is nothing to sneeze it's not unprecedented and is,unspecified
1066,silver,since the 1930s *end* *end* the imf said wednesday in,unspecified
1067,silver,*start*  declined to 51 1% in december from 53,overlap
1068,silver,homer's was known for custom-crafted *start* once using extra-high cushions,unspecified
1069,silver,its members reported a decline employment in december *end* *end*,overlap
1070,silver,korea to seek free-trade pact will begin negotiations with south,unspecified
1071,silver,else to focus on *end* 84 yen late friday *end* *end*,unspecified
1072,silver,begin to slow down in slow down in the second half *end* *end*,unrealized
1073,silver,*start*  on monday he called monday he called mr *end*,toText
1074,silver,the economy this year and into is now ratcheting down its,unrealized
1075,silver,*start* 5% in the first two months of 2008 *end* *end* 4% for the first three months of 2001 *end* *end*,before
1076,silver,for about 80 minutes on monday scareairport authorities shut down a,overlap
1077,silver,other economists expect new-home sales drop modestly through year-end *end* *end*,unspecified
1078,silver,recent sharp appreciation in price *start* the downgrades were all,unspecified
1079,silver,first americans hated taxes; the the constitution limited government and,unspecified
1080,silver,is to spur market demand *start*  remain at historically,unspecified
1081,silver,get substantial improvement in the is to spur market demand,unspecified
1082,silver,dollars) in 1776 *end* *end* mankind took 30,000 years to get,unspecified
1083,silver,in just 10 days *end* *end* this is a definitive turning point for the,unspecified
1084,silver,*start* was unchanged *end* *end* *start*  suggesting that consumer,unspecified
1085,silver,changed from 93.81 cents late friday 81 cents late friday in new,unspecified
1086,silver,begin late next year *end* *end* *start* it warned there are,unspecified
1087,silver,going to need all the fed can provide over the,unrealized
1088,silver,stocks have sagged in the sagged in the past few weeks *end* *end*,overlap
1089,silver,*start* in april the president the president appeared at a,overlap
1090,silver,the nasdaq gained 23 *end* *start* ---at&t showed significantly lower,unspecified
1091,silver,chairman said 1996 so far far "has been a good,overlap
1092,silver,can be bought for a *start*  surpassed japan in,unspecified
1093,silver,*start* 5% rise in 1939 rise in 1939 *end* *end*,overlap
1094,silver,which has wiped out hundreds homer's was known for custom-crafted,unspecified
1095,silver,that does nothing more complicated complicated than assemble computers and,overlap
1096,silver,selloff has seen year-to-date gains some are asking if this,before
1097,silver,*start* which affected a broad fed will push up interest,unspecified
1098,silver,*start*  eliminating corporate welfare not be asking senior citizens,unspecified
1099,silver,to be seen --although japanese have now turned positive *end*,unrealized
1100,silver,*start* yellen appeared at a confirmation hearing thursday alongside two,overlap
1101,silver,*start*  down from the *start* 1% in july *end* *end*,overlap
1102,silver,*start* but today the american is being eroded *end* *end*,unspecified
1103,silver,funds can differ in such they also vary widely in,unspecified
1104,silver,data to trade on *end* *start* analysts say investors initially,unspecified
1105,silver,imf still expects a recovery recovery to begin late next,unrealized
1106,silver,a pleasant surprise *end* *end* increases also indicates inflation isn't,unspecified
1107,silver,*start* since 1976 annual gdp has steadily declined *end* *end*,after
1108,silver,in late february *end* *end* *start*  fell to 3,unspecified
1109,silver,agreement] will increase market access world's 10th-largest economy *end* *end*,unrealized
1110,silver,level since 2002 and near imf still expects a recovery,unspecified
1111,silver,formula -- skipping middlemen by middlemen by selling direct *end*,overlap
1112,silver,that could hurt economic growth growth for the rest of the year *end* *end*,unspecified
1113,silver,reached in the fall of 1982 *end* *end* banks were allowed to offer,unspecified
1114,silver,economic worries pulled the plug small-capitalization stocks fell 7 *end*,unspecified
1115,silver,it is clear that bonds bonds are becoming hypersensitive to,unspecified
1116,silver,begun to decline *end* *end* recovery of 1983-84 brought greater,unspecified
1117,silver,america to see mr *end* the alarm felt by many,before
1118,silver,european markets set highs *end* which was closed monday and,unspecified
1119,silver,european markets set highs *end* europe and jumped 2 *end*,unspecified
1120,silver,the question looms larger than financial markets detached themselves from,after
1121,silver,*start*  losing just 7 off its feb. 26 high *end*,unspecified
1122,silver,slows in december *end* *end* industrial economy slows in december,overlap
1123,silver,slows in december *end* *end* a pleasant surprise *end* *end*,unspecified
1124,silver,had gotten ahead of itself *start* intel swooned 4 *end*,unspecified
1125,silver,fears the fund might sell fund might sell off its,unrealized
1126,silver,they are ordered -- has -- has become the envy,unspecified
1127,silver,they also vary widely in assets they buy *end* *end*,unspecified
1128,silver,technology shares dived yesterday after stock was downgraded by two,after
1129,silver,funds are looked at as when you look at them,unspecified
1130,silver,technology shares dived yesterday after shares dived yesterday after intel,overlap
1131,silver,german yields hit a record at a low for the,unspecified
1132,silver,helped to propel european and stocks higher yesterday *end* *end*,overlap
1133,silver,*start* if confirmed to the would likely push the balance,unrealized
1134,silver,fund is taking *end* *end* one that invests in a,unspecified
1135,silver,poor to tighten their belts *start* actually subsidizes the sale,unspecified
1136,silver,*start* after falling sharply on fund might sell off its,unspecified
1137,silver,first drop in three months *end* *end* below 50% indicates the economy,unspecified
1138,silver,18 times that year 's earnings *end* it's the lowest s&p 500,unspecified
1139,silver,has been firing on all double-digit unit growth for world-wide,overlap
1140,silver,be increasingly difficult *end* *end* *start* in 1984 *end* *end*,unspecified
1141,silver,*start*  tumbling $7 *end* technology stocks trading on momentum,unspecified
1142,silver,on in 15 years *end* *end* *start* " removing trade and,unspecified
1143,silver,august decline followed a revised homes were unchanged in july,unspecified
1144,silver,*start* " says chairman marvin immigrant father founded the company,unspecified
1145,silver,*start* " said roger mcnamee "tech-stock investors fluctuate from euphoria,unspecified
1146,silver,*start* admitted yesterday that he he had violated the country's,unspecified
1147,silver,*start* gilts wiped out and out and turned to losses,overlap
1148,silver,or simply outlasted his critics president obama's embrace of mr,unspecified
1149,silver,*start*  today *end* *end* has been rehabilitated into the,overlap
1150,silver,most investors said the effect some also said they want,unspecified
1151,silver,*start* is up 55% *end* stocks have sagged in the,unspecified
1152,silver,fed will be in a inflation in weeks ahead *end* *end*,unspecified
1153,silver,jerry nadler rushed to pay america to see mr *end*,unspecified
1154,silver,low for the year of 1 and a brewing debate about,unspecified
1155,silver,with a surge that put average on track for the,overlap
1156,silver,growth over the next five years *end* *end* *start* *start* comments on sunday,unspecified
1157,silver,our economy accelerates its progress begun to trace *end* *end*,unspecified
1158,silver,set another record and briefly and briefly pierced $1 *end*,overlap
1159,silver,fairly resounding yes *end* *end* and they find it misguided,overlap
1160,silver,"there's hardly anything wrong with tempting to believe otherwise *end*,unrealized
1161,silver,microsoft has doubled *end* *end* a dramatic rise and fall,unspecified
1162,silver,has been rehabilitated into the *start* sharpton changed or simply,unspecified
1163,silver,it finished 2004 at 18 *start* it finished 2004 at,overlap
1164,silver,but was outpaced by the *start* it fell behind the,unspecified
1165,silver,*start* "over the next few years *end* *end* fed must craft policies that,unspecified
1166,silver,*start*  according to james being closely tied to the,unspecified
1167,silver,*start*  played catch-up with europe and jumped 2 *end*,overlap
1168,silver,terminal is evacuated after abandoned-bag evacuatedafter abandoned-bag scare airport authorities,before
1169,silver,and briefly pierced $1 *end* day's advances began in europe,unspecified
1170,silver,are for 1988 *end* *end* *start* the figures are for,overlap
1171,silver,that analysis omits the long-run strongest economic merits *end* *end*,unspecified
1172,silver,microsoft has doubled *end* *end* *start* is up 55% *end*,overlap
1173,silver,committee that determines when recessions economy is recovering *end* *end*,unspecified
1174,silver,of higher inflation in weeks higher inflation in weeks ahead *end* *end*,unrealized
1175,silver,data yet suggest an economy *start* 000 in april was better,before
1176,silver,competitors have led consumers to consumers to increase their holdings,after
1177,silver,the nation's rev. sharpton -- and nation is better for it,unspecified
1178,silver,it was signed by 61 *start* in calling for government,unspecified
1179,silver,economists and sent financial markets *start* the surge in prices,unspecified
1180,silver,that can cool the pace a panic sets in *end*,unspecified
1181,silver,reserve in 2005 *end* *end* *start* he promised to "maintain,overlap
1182,silver,and they're pulling back *end* reserve also reported that industrial,unspecified
1183,silver,mutual funds offer an answer *start* *start* designed by some,unspecified
1184,silver,environmental groups involved in the have to think out of,unspecified
1185,silver,statistics for 1984 *end* *end* *start*  published tuesday by,after
1186,silver,fed must craft policies that who has served as president,unspecified
1187,silver,*start* doomsayers point to the to the plunging financial markets,overlap
1188,silver,*start* " said robert schnorbus just don't like to see,unspecified
1189,silver,small in 1986 *end* *end* budget would amount to $17,unspecified
1190,silver,some are asking if this market after its 30-year bull run *end* *end*,after
1191,silver,has been rehabilitated into the been particularly intense this year,before
1192,silver,*start* the 2009 forecast was forecast was slashed from 3,unspecified
1193,silver,*start* who leads the so-called *start*  admitted yesterday that,unspecified
1194,silver,mankind took 30,000 years to get get to $919 *end* *end*,unspecified
1195,silver,bond's price rose nearly 1 jones industrials rose 87 *end*,unspecified
1196,silver,see the gyrations of the the stock decline is "not,unspecified
1197,silver,*start* in 2005 *end* *end* uninspiring annual performances of its,overlap
1198,silver,already was available from insurer-run retirees are loathe to turn,before
1199,silver,being closely tied to the can be slowed by interest-rate,unspecified
1200,silver,stock average dropped 121 points *start* 57-point rally on friday,after
1201,silver,have broadly tracked treasurys *end* data yet suggest an economy,unspecified
1202,silver,nzx-50 was up 0 *end* index was down 0 *end*,overlap
1203,silver,mostly lower early monday as a china is targeting lower growth,unspecified
1204,silver,month in october *end* *end* increases was curtailed by a,after
1205,silver,they are negotiating at all at all marks a big,unspecified
1206,silver,that would eliminate any cost-of-living security beneficiaries next year and hold,unspecified
1207,silver,*start*  introduced with much fanfare just two years ago *end* *end*,unspecified
1208,silver,might be forced to split the dollar rebounded during the,unspecified
1209,silver,average was off 0 *end* 200 was down 0 *end*,overlap
1210,silver,fed has raised rates in health-care stocks fared better *end*,overlap
1211,silver,closed for the easter holiday and little data to trade on *end*,unspecified
1212,silver,1987 to 2006 *end* *end* important in understanding why mr,unspecified
1213,silver,*start* "over the next few years *end* *end* fed must craft policies that,unrealized
1214,silver,short-selling activity soared at the half of march *end* *end*,unspecified
1215,silver,mutual funds offer an answer *start* *start* designed by some,after
1216,silver,technology stocks trading on momentum investors recently poured in *end*,overlap
1217,silver,the question looms larger than financial markets detached themselves from,unspecified
1218,silver,strategies but start with the *start*  place a pool,overlap
1219,silver,*start*  just a few weeks later *end* *end* *start* doomsayers point to the,overlap
1220,silver,francisco since 2004 *end* *end* *start* yellen appeared at a,unspecified
1221,silver,automobile makers raised prices and prices and reduced dealer incentives,overlap
1222,silver,more investors expect a downturn *start* has benefited short sellers,unspecified
1223,silver,enjoyed a resurgence of popularity of popularity this year *end* *end*,unspecified
1224,silver,fell 6% last year *end* *end* consecutive yearly decline in inflation-adjusted,unspecified
1225,silver,*start* bonds plunged *end* *end* yields to six-month highs *end*,unspecified
1226,silver,*start* geithner said *end* *end* is to maximize the incentives,unspecified
1227,silver,economic outlook remains bright despite the right approach *end* *end*,unspecified
1228,silver,has an agreement to buy bring an end to the,unrealized
1229,silver,grow in december *end* *end* the economy continued to grow,overlap
1230,silver,*start* on aug. 17 *end* *end* the fed cut the interest,overlap
1231,silver,*start*  introduced with much fanfare just two years ago *end* *end*,overlap
1232,silver,index was down 0 *end* *start* 5% lower *end* *end*,overlap
1233,silver,*start* with yesterday 's mini-meltdown the question looms larger than,after
1234,silver,at roughly the same time as the and sometimes more than a year later *end* *end*,unspecified
1235,silver,reserve board stressed the importance importance of fighting a weak,unrealized
1236,silver,as japan readies for its for its june 25 lower house,unrealized
1237,silver,*start*  setting off worldwide would probably prefer to put,unspecified
1238,silver,corporate profits grew quickly *end* company analysts polled by reuters,unspecified
1239,silver,prices and reduced dealer incentives incentives on 2004 car models,unspecified
1240,silver,*start*  fell to 3 "short" shares borrow and sell,unspecified
1241,silver,decrease in july to a august decline followed a revised,after
1242,silver,is usually a few hours before the *start* not a full day *end* *end*,unspecified
1243,silver,*start* what explains dell's startling startling stock-market success *end* *end*,unspecified
1244,silver,it finished 2004 at 18 18 times that year 's earnings *end*,unspecified
1245,silver,consumer sentiment rose to 93 5 in early november *end* *end*,overlap
1246,silver,*start*  dampened sentiment *end* mostly lower early monday as a,overlap
1247,silver,*start* for the first two centuries of our man became better off more quickly,overlap
1248,silver,francisco since 2004 *end* *end* *start* job creation must be,unspecified
1249,silver,imf said wednesday in its months after upgrading its global,unspecified
1250,silver,*start*  noted that china *start* *start* over the previous six weeks *end* *end*,unspecified
1251,silver,period ended march 14 *end* *end* interest -- jumped 7 *end*,unspecified
1252,silver,stocks higher yesterday *end* *end* european markets set highs *end*,overlap
1253,silver,*start* helping paint a picture this market needed *end* *end*,unspecified
1254,silver,57 after winning a crucial federal court dismissed the stamford,unspecified
1255,silver,will keep expanding as 1988 expanding as 1988 unfolds *end*,unspecified
1256,silver,evacuatedafter abandoned-bag scare airport authorities scareairport authorities shut down a,unspecified
1257,silver,hillary clinton phoned in with michelle obama sent a congratulatory,overlap
1258,silver,expiration i've seen " in i've seen" in the past 12 months *end* *end*,overlap
1259,silver,issue since january to strong strong demand thursday *end* *end*,after
1260,silver,minutes on monday morning after a police dog indicated that a,before
1261,silver,*start* " said ashok gupta environmental groups involved in the,unspecified
1262,silver,be the case if scientific analysis were introduced into the,unspecified
1263,silver,have all cut rates--between them may yet scotch talk of,unrealized
1264,silver,lowest pace in a year *end* *end* *start* analysts predicted they could,unspecified
1265,silver,middlemen by selling direct *end* *start* and building machines only,unspecified
1266,silver,provided by last october's market crash century has witnessed only eight,unspecified
1267,silver,*start* it depends on which are being debated *end* *end*,unspecified
1268,silver,"manufacturers are adjusting incentives in *start* " said robert schnorbus,unspecified
1269,silver,*start* they range from giving range from giving the federal,unspecified
1270,silver,*start* the august decline followed august decline followed a revised,before
1271,silver,*start* investors suffered a 6% a 6% decline in principal,overlap
1272,silver,closed for the easter holiday and little investors initially sold technology stocks,unspecified
1273,silver,reserve in 2005 *end* *end* bernanke was nominated to head,overlap
1274,silver,which would feed speculation that at its june 27 -28 meeting *end*,unspecified
1275,silver,market on tuesday helped to on tuesday helped to propel,unspecified
1276,silver,a panic sets in *end* are already arguing that the,unspecified
1277,silver,productivity center said in its this parity compares the amount,unspecified
1278,silver,pulled back yesterday *end* *end* murakami's fund rose *end* *end*,unspecified
1279,silver,*start*  may 's selloff selloff has seen year-to-date gains,unspecified
1280,silver,economy has darkened considerably *end* financial crisis expected to push,overlap
1281,silver,action was aimed at restoring primarily at boosting growth *end*,unspecified
1282,silver,as investors geared up for "there's some skittishness as a,after
1283,silver,*start*  said james christian new-home sales dropping to a,unspecified
1284,silver,*start* once using extra-high cushions but by making its own,unspecified
1285,silver,users can debate whether facebook place to post a picture,unspecified
1286,silver,is being eroded *end* *end* *start* since 1976 annual gdp,unspecified
1287,silver,stocks in the past year *end* *end* *start* in the past 12 months *end* *end*,unspecified
1288,silver,the dollar rebounded during the composite index fell about 160,overlap
1289,silver,minutes on monday morning after a police dog indicated that a,overlap
1290,silver,the economy continued to grow grow in december *end* *end*,overlap
1291,silver,who would fill two remaining *start*  told the senate,unspecified
1292,silver,9% pace in 2008 *end* *end* *start*  down from the,unspecified
1293,silver,inflation is estimated at 1 *start* 2% in april *end* *end*,overlap
1294,silver,is an effort by the *start*  save the government,unspecified
1295,silver,*start* and building machines only they are ordered -- has,unspecified
1296,silver,been nearly a year since thailand since thailand devalued the baht,unspecified
1297,silver,important in understanding why mr it could alter investors' expectations,unspecified
1298,silver,fed can provide over the provide over the coming year *end* *end*,unspecified
1299,silver,the alarm felt by many new yorkers elected bill de,unspecified
1300,silver,stocks higher yesterday *end* *end* *start*  pushing the dow,overlap
1301,silver,auto makers responded by fattening incentives in november *end* *end*,overlap
1302,silver,to begin late next year *end* *end* "considerable downside risks " to,unspecified
1303,silver,*start*  pushing the yield jones industrials rose 87 *end*,unspecified
1304,silver,economy is now entering a is now entering a major,overlap
1305,silver,*start* and right now we're in we're in the blind panic mode *end* *end*,overlap
1306,silver,a 6% decline in principal many would say it wasn't,unspecified
1307,silver,going private four years ago *end* *end* *start*  filed for chapter,after
1308,silver,tempting to believe otherwise *end* it was less than eight weeks ago that the,after
1309,silver,game unit agreed to a "jakks pacific rose 1 *end*,unspecified
1310,silver,is "in line with expectations *start* " said mark riedy,unspecified
1311,silver,imf said wednesday in its *start* just a few months after upgrading,unspecified
1312,silver,economic growth increases *end* *end* and investment suggest that eliminating,unspecified
1313,silver,more than two months of deliberations *start* has rolled out its,unspecified
1314,silver,they haven't quit their jobs already and decided to sail,unspecified
1315,silver,european markets set highs *end* *start*  played catch-up with,overlap
1316,silver,us would consider the question *start* it depends on which,unspecified
1317,silver,"has been a good year " for fed will be in a,unspecified
1318,silver,*start* "the impact [the microsoft been more sizable than normal,unspecified
1319,silver,cut significantly reduces the cost if businesses invest more *end*,unspecified
1320,silver,had to become aware of to become aware of the,unrealized
1321,silver,october from the month before *end* *end* census bureau reported retail sales,unspecified
1322,silver,*start*  justifying enormous leaps *start* *start* today *end* *end*,unspecified
1323,silver,bring an end to the fiat will pay the treasury,unspecified
1324,silver,the circle continues *end* *end* are often known by euphemisms,unspecified
1325,silver,tomorrow's monthly expiration of options strategists frequently complain that expiration,unspecified
1326,silver,1% in february *end* *end* *start*  alarmed economists and,after
1327,silver,financial markets closed for the closed for the easter holiday and little,overlap
1328,silver,to put the past 12 months well behind they haven't quit their jobs,unspecified
1329,silver,shares dived yesterday after intel *start* intel swooned 4 *end*,unspecified
1330,silver,treasury department mails about 160 benefit checks a year *end* *end*,unspecified
1331,silver,sellers who placed well-timed bets *start* strunk surveys a group,unspecified
1332,silver,sign of inflation *end* *end* " he said *end* *end*,unspecified
1333,silver,*start* riedy forecast *end* *end* "a small surge " in,unspecified
1334,silver,stocks in the past year *end* *end* that does nothing more complicated,unspecified
1335,silver,had been repealed by tremendous *start*  justifying enormous leaps,after
1336,silver,*start* yellen appeared at a confirmation hearing thursday alongside two,unspecified
1337,silver,consumers to increase their holdings investors shouldn't assume that the,unspecified
1338,silver,*start* stocks got cheaper *end* *start* in 2005 *end* *end*,unspecified
1339,silver,of interest seems exceptional even may have signaled an approaching,unspecified
